Unnamed: 0,guncelfiyat,odasayisi,brutm2,netm2,emlaktipi,binayasi,bulundugukat,binadakikatsayisi,isitmatipi,banyosayisi,manzara,otopark,interkom,depremyonetmeligineuygun,asansor,cocukoyunalani,giyinmeodasi,ebeveynbanyosu,Ilan_ID,yil,ay,gun,il,ilce,mahalle,salonsayisi
0,1050000,5,380.0,370.0,0,4,4,3,9,3,422,6,1,1,1,1,1,1,1,2019,1,1,0,7,19,2
1,547500,2,65.0,55.0,0,1,1,10,9,1,889,0,1,0,1,0,0,0,11,2019,1,1,0,15,183,1
2,440000,3,205.0,197.0,0,3,12,3,9,2,623,6,1,1,1,0,0,1,10,2019,1,1,0,7,19,1
3,1450000,3,150.0,130.0,0,7,14,8,12,2,623,5,0,0,1,0,0,1,8,2019,1,1,0,8,396,1
4,169000,2,70.0,65.0,0,2,26,9,9,1,274,1,1,0,1,0,1,1,7,2019,1,1,0,7,132,1
5,180000,2,110.0,95.0,0,1,12,9,9,1,890,7,0,1,1,1,0,0,9,2019,1,1,0,7,132,1
11,1850000,3,271.0,201.0,0,1,18,10,9,3,889,6,1,0,1,0,0,1,99,2019,1,2,0,15,119,2
12,109000,2,110.0,100.0,0,1,26,8,9,1,889,0,1,0,1,1,1,1,95,2019,1,2,0,7,102,1
13,642500,5,185.0,160.0,0,6,18,3,9,3,630,5,1,0,1,0,0,1,96,2019,1,2,0,7,118,1
14,87500,2,100.0,95.0,0,1,21,7,9,2,889,0,0,0,1,0,0,0,97,2019,1,2,0,7,132,1
15,133000,2,110.0,105.0,0,1,14,8,9,1,889,0,0,0,1,0,0,0,98,2019,1,2,0,7,132,1
17,129900,2,120.0,100.0,0,1,21,7,9,1,890,0,1,0,1,0,0,0,105,2019,1,2,0,7,132,1
21,107700,1,70.0,60.0,0,1,21,8,8,1,312,1,1,0,1,0,0,1,94,2019,1,2,0,7,132,1
22,270000,2,102.0,82.0,0,14,16,3,9,1,889,0,0,0,0,0,0,0,106,2019,1,2,0,4,237,1
26,1250000,4,280.0,240.0,5,1,0,7,9,2,659,1,0,0,0,0,0,0,91,2019,1,2,0,7,149,2
28,1250000,4,280.0,240.0,5,1,0,7,9,2,659,1,0,0,0,0,0,0,89,2019,1,2,0,7,149,2
30,109000,2,100.0,90.0,0,1,21,8,9,1,889,0,1,0,1,0,0,0,107,2019,1,2,0,7,132,1
31,1250000,4,280.0,240.0,5,1,0,7,9,2,659,1,0,0,0,0,0,0,86,2019,1,2,0,7,149,2
32,118000,1,80.0,65.0,0,1,21,7,9,1,890,0,1,0,1,0,0,0,85,2019,1,2,0,7,132,1
33,265000,1,78.0,70.0,0,8,21,12,9,1,728,1,1,0,1,0,0,0,84,2019,1,2,0,7,19,1
