Unnamed: 0,guncelfiyat,odasayisi,brutm2,netm2,emlaktipi,binayasi,bulundugukat,binadakikatsayisi,isitmatipi,banyosayisi,manzara,otopark,interkom,depremyonetmeligineuygun,asansor,cocukoyunalani,giyinmeodasi,ebeveynbanyosu,Ilan_ID,yil,ay,gun,il,ilce,mahalle,salonsayisi
282,295000,3,125.0,114.0,0,5,32,8,9,1,889,0,1,0,1,0,0,0,147,2019,1,3,1,0,530,1
669,465000,5,230.0,180.0,0,1,20,12,9,2,889,1,0,0,1,0,0,1,706,2019,1,6,1,0,456,1
1838,300000,3,125.0,120.0,0,11,14,8,9,2,889,0,0,0,1,0,0,0,1894,2019,1,16,1,0,530,1
2610,750000,3,125.0,115.0,2,1,30,6,7,1,889,0,0,0,0,0,0,0,2511,2019,1,21,1,0,76,1
2683,650000,3,160.0,145.0,0,11,34,7,9,2,889,0,0,0,0,0,0,0,2637,2019,1,22,1,0,515,1
3189,242000,3,160.0,150.0,0,1,14,6,9,2,889,0,0,0,0,0,0,1,3276,2019,1,26,1,0,76,1
3928,850000,5,240.0,220.0,7,4,21,1,8,1,889,0,0,0,0,0,0,0,3799,2019,1,30,1,0,542,1
4502,220000,3,125.0,98.0,0,4,32,7,9,1,889,0,0,0,0,0,0,0,4420,2019,2,4,1,0,530,1
5057,440000,4,230.0,220.0,0,1,18,10,9,2,889,0,0,0,0,0,0,0,4987,2019,2,9,1,0,456,1
5462,370000,3,150.0,140.0,0,4,26,9,9,1,889,0,0,0,0,0,0,0,5559,2019,2,12,1,0,330,1
7356,310000,3,130.0,125.0,0,11,12,7,9,1,889,0,0,0,1,0,0,0,7415,2019,2,27,1,0,530,1
11624,285000,3,170.0,160.0,7,3,30,1,8,1,889,0,0,0,0,0,0,0,11718,2019,4,1,1,0,542,1
13067,1150000,4,500.0,159.0,5,3,0,6,1,2,889,1,0,0,0,0,0,0,12853,2019,4,10,1,0,542,2
13947,950000,3,130.0,110.0,2,9,30,4,8,2,889,0,0,0,0,0,0,0,13849,2019,4,17,1,0,542,1
14134,1450000,4,700.0,250.0,5,0,0,0,0,2,889,0,0,0,0,0,0,0,14041,2019,4,18,1,0,542,1
15575,280000,3,115.0,105.0,0,6,14,6,9,1,889,0,0,0,0,0,0,0,15651,2019,5,2,1,0,298,1
15974,210000,2,254.0,250.0,2,3,30,1,14,1,889,0,0,0,0,0,0,0,16052,2019,5,4,1,0,375,1
16106,1250000,4,180.0,150.0,5,3,0,6,6,3,889,5,0,0,0,1,0,0,16086,2019,5,5,1,0,542,2
16234,385000,3,170.0,165.0,0,1,34,7,9,2,889,0,0,0,1,0,0,0,16135,2019,5,7,1,0,530,1
16379,229000,2,65.0,60.0,0,7,24,8,16,1,889,0,0,0,0,0,0,0,16335,2019,5,8,1,0,298,1
17334,450000,3,110.0,100.0,0,14,27,6,14,1,889,0,0,0,0,0,0,0,17426,2019,5,15,1,0,542,1
17340,285000,3,130.0,120.0,0,14,34,7,13,1,889,0,0,0,0,0,0,0,17432,2019,5,15,1,0,298,1
18492,240000,2,211.0,178.0,2,3,30,6,8,1,889,0,0,0,0,0,0,0,18589,2019,5,23,1,0,530,1
18933,165000,2,680.0,80.0,2,3,30,1,14,1,889,0,0,0,0,0,0,0,18879,2019,5,25,1,0,76,1
18971,150000,2,99.0,90.0,7,4,30,1,14,1,889,0,0,0,0,0,0,0,19010,2019,5,26,1,0,542,1
20009,725000,2,170.0,140.0,7,0,0,0,0,1,889,0,0,0,0,0,0,0,19928,2019,6,2,1,0,542,1
20310,285000,3,135.0,97.0,0,11,27,7,4,1,889,0,0,0,0,0,0,0,20393,2019,6,5,1,0,542,1
20450,355000,4,170.0,165.0,0,1,32,7,9,2,889,0,0,0,1,0,0,0,20533,2019,6,7,1,0,530,1
20731,88300,2,50.0,49.0,3,0,0,1,16,1,889,0,0,0,0,0,0,0,20683,2019,6,9,1,0,60,1
22777,750000,4,225.0,210.0,0,1,12,4,9,3,889,0,1,0,0,0,0,1,22842,2019,6,25,1,0,515,1
24578,2500000,4,6000.0,300.0,8,13,0,6,16,4,889,0,0,0,0,0,0,0,24654,2019,7,11,1,0,206,3
25101,900000,2,773.0,231.0,2,14,30,1,8,2,889,1,0,0,0,0,1,0,25147,2019,7,16,1,0,259,1
25437,270000,3,125.0,118.0,0,13,26,7,7,1,889,0,0,0,0,0,0,0,25494,2019,7,19,1,0,542,1
25647,220000,2,90.0,85.0,0,5,24,6,14,1,889,0,0,0,0,0,0,0,25646,2019,7,21,1,0,542,1
26257,255000,3,135.0,125.0,0,8,12,7,8,1,889,0,0,0,1,0,0,1,26149,2019,7,25,1,0,322,1
28317,350000,3,137.0,127.0,0,14,15,8,8,1,889,7,0,0,1,0,0,0,28390,2019,8,11,1,0,322,1
29195,265000,3,140.0,125.0,0,1,1,8,9,1,889,0,1,1,1,0,0,1,29255,2019,8,21,1,0,530,1
29883,2500000,3,262.0,155.0,5,14,30,1,8,3,889,6,1,1,0,1,1,1,29848,2019,8,27,1,0,542,1
29947,275000,3,125.0,110.0,0,1,15,7,9,2,889,7,1,0,1,0,0,0,30058,2019,8,28,1,0,530,1
30776,480000,3,145.0,135.0,0,1,12,9,15,1,889,0,1,1,1,0,0,0,30847,2019,9,3,1,0,515,1
32347,267500,3,145.0,130.0,0,1,1,8,9,2,889,0,1,0,1,0,0,1,32421,2019,9,14,1,0,530,1
32721,685000,3,170.0,140.0,7,1,30,6,0,2,889,5,0,0,0,0,0,0,32796,2019,9,18,1,0,573,2
32793,365000,3,200.0,185.0,0,0,0,0,0,2,889,0,0,0,0,1,0,0,32740,2019,9,18,1,0,542,1
33250,330000,1,560.0,553.0,7,0,0,0,0,1,889,0,0,0,0,0,0,0,33276,2019,9,22,1,0,542,0
33578,285000,3,140.0,120.0,0,1,14,8,9,2,889,0,1,0,1,0,0,0,33693,2019,9,25,1,0,530,1
33579,750000,5,270.0,250.0,0,3,30,6,8,3,889,1,0,0,0,0,0,0,33692,2019,9,25,1,0,542,1
33582,199000,3,125.0,120.0,0,4,16,8,14,1,889,0,0,0,0,0,0,0,33689,2019,9,25,1,0,530,1
33585,220000,2,80.0,75.0,0,6,16,8,9,1,889,0,0,0,0,0,0,0,33690,2019,9,25,1,0,330,1
33650,259000,3,125.0,120.0,0,4,12,7,8,1,889,1,0,0,0,0,0,0,33707,2019,9,25,1,0,530,1
33688,285000,3,130.0,125.0,0,2,28,9,9,1,889,0,0,0,0,0,0,0,33581,2019,9,25,1,0,530,1
33858,285000,3,135.0,120.0,0,1,12,8,9,2,889,0,0,0,0,0,0,0,33778,2019,9,26,1,0,530,1
34572,1950000,6,250.0,200.0,5,4,25,6,5,2,889,5,0,0,0,0,0,0,34634,2019,10,1,1,0,515,2
34681,410000,2,85.0,70.0,2,9,21,1,14,1,889,0,0,0,0,0,0,0,34622,2019,10,1,1,0,542,1
35213,600000,4,240.0,200.0,0,13,31,9,9,2,889,0,0,1,0,1,0,0,35245,2019,10,6,1,0,60,1
36120,175000,2,95.0,90.0,0,6,16,7,14,1,889,0,0,0,0,0,0,0,36119,2019,10,13,1,0,298,1
36593,395000,4,165.0,150.0,0,14,24,7,9,2,889,7,1,1,1,1,0,0,36729,2019,10,16,1,0,530,1
36609,300000,3,95.0,90.0,0,7,27,6,13,1,889,0,0,0,0,0,0,0,36746,2019,10,16,1,0,322,1
36938,1750,3,150.0,140.0,6,14,30,1,14,1,889,0,0,0,0,0,0,0,36831,2019,10,17,1,0,542,1
36963,1750,4,170.0,160.0,7,13,30,1,14,1,889,0,0,0,0,0,0,0,36830,2019,10,17,1,0,542,1
39838,265000,2,95.0,90.0,0,3,27,6,8,1,889,0,0,0,0,0,0,0,39762,2019,11,5,1,0,542,1
41308,375000,3,180.0,160.0,0,3,14,6,14,2,889,0,0,0,0,0,0,1,41250,2019,11,14,1,0,530,1
41590,217500,1,82.0,60.0,0,2,24,4,8,1,889,1,0,0,0,0,0,0,41684,2019,11,16,1,0,456,1
42249,630000,3,125.0,100.0,5,14,30,4,0,2,889,0,0,0,0,0,0,1,42380,2019,11,20,1,0,542,1
42356,435000,4,140.0,110.0,2,7,30,4,8,2,889,0,0,0,0,0,0,0,42280,2019,11,20,1,0,573,1
42361,435000,4,140.0,110.0,2,7,30,4,8,2,889,0,0,0,0,0,0,0,42285,2019,11,20,1,0,573,1
44201,450000,2,150.0,130.0,5,0,0,6,0,2,889,0,0,0,0,0,0,0,44158,2019,12,1,1,0,573,1
44676,285000,2,130.0,110.0,7,8,34,4,14,1,889,0,0,0,0,0,0,0,44679,2019,12,4,1,0,542,1
45355,250000,3,110.0,100.0,0,3,14,7,9,1,889,1,1,0,0,0,0,0,45486,2019,12,11,1,0,530,1
45449,240000,3,128.0,110.0,0,6,14,8,16,1,889,0,0,0,1,0,0,0,45529,2019,12,11,1,0,298,1
45450,975000,3,200.0,150.0,5,6,30,4,1,2,889,1,0,0,0,0,0,0,45531,2019,12,11,1,0,542,1
45460,345000,3,170.0,160.0,0,8,12,7,9,2,889,1,1,0,1,0,0,1,45382,2019,12,11,1,0,530,1
45461,240000,2,90.0,86.0,0,14,12,9,11,1,889,1,0,0,1,0,0,0,45383,2019,12,11,1,0,456,1
45462,410000,3,140.0,120.0,0,14,12,11,8,2,889,6,1,0,1,0,0,1,45384,2019,12,11,1,0,456,1
45465,1200000,3,147.0,138.0,0,14,15,8,9,2,889,1,1,0,1,0,0,1,45387,2019,12,11,1,0,330,1
45466,750000,4,236.0,200.0,5,14,21,4,8,3,889,1,1,0,0,0,1,1,45388,2019,12,11,1,0,542,1
45469,485000,6,193.0,160.0,0,11,24,11,8,2,889,6,0,0,1,0,1,0,45390,2019,12,11,1,0,456,1
45509,350000,3,140.0,132.0,0,14,14,10,9,2,889,1,1,0,1,0,0,1,45405,2019,12,11,1,0,456,1
46438,585000,5,220.0,180.0,0,14,30,4,8,1,889,0,0,0,0,0,0,0,46598,2019,12,17,1,0,515,1
47571,360000,3,180.0,160.0,0,3,14,6,14,2,889,0,0,0,0,0,0,1,47509,2019,12,23,1,0,530,1
49199,225000,2,85.0,75.0,0,5,32,6,9,1,889,0,0,0,0,0,0,0,49341,2020,1,7,1,0,322,1
49204,375000,3,170.0,145.0,0,6,14,7,9,1,889,0,0,0,0,0,0,0,49332,2020,1,7,1,0,330,1
49206,225000,3,125.0,112.0,0,6,14,6,9,1,889,0,0,0,0,0,0,0,49334,2020,1,7,1,0,298,1
49207,255000,3,120.0,110.0,0,1,21,9,9,1,889,0,0,0,0,0,0,0,49335,2020,1,7,1,0,530,1
