Unnamed: 0,guncelfiyat,odasayisi,brutm2,netm2,emlaktipi,binayasi,bulundugukat,binadakikatsayisi,isitmatipi,banyosayisi,manzara,otopark,interkom,depremyonetmeligineuygun,asansor,cocukoyunalani,giyinmeodasi,ebeveynbanyosu,Ilan_ID,yil,ay,gun,il,ilce,mahalle,salonsayisi
135,400000,3,125.0,115.0,0,13,14,8,8,1,889,0,0,0,0,0,0,0,53,2019,1,2,1,20,310,1
361,480000,1,90.0,85.0,0,4,15,8,15,1,889,0,0,0,0,0,0,0,473,2019,1,4,1,20,484,1
391,345000,3,145.0,135.0,0,6,1,10,9,1,889,5,0,0,1,1,0,0,459,2019,1,4,1,20,89,1
573,250000,2,90.0,80.0,0,1,21,7,9,1,889,0,1,1,0,0,0,0,572,2019,1,5,1,20,588,1
990,215000,2,90.0,85.0,0,4,12,7,8,1,889,0,0,0,0,0,0,0,906,2019,1,8,1,20,418,1
1067,525000,3,140.0,125.0,0,1,12,7,9,2,889,0,0,0,0,0,0,0,1105,2019,1,10,1,20,337,1
1094,165000,2,122.0,113.0,0,0,27,6,8,1,889,0,0,0,0,0,0,0,1137,2019,1,10,1,20,568,1
1119,235000,3,125.0,120.0,0,0,0,0,0,1,889,0,0,0,0,0,0,0,1053,2019,1,10,1,20,64,1
1152,260000,2,95.0,90.0,0,4,1,7,9,1,889,0,0,0,0,0,0,0,1077,2019,1,10,1,20,381,1
1308,265000,2,95.0,90.0,0,0,0,0,0,1,889,0,0,0,0,0,0,0,1238,2019,1,11,1,20,563,1
1340,335000,3,140.0,135.0,0,9,21,8,9,1,889,1,0,1,0,0,0,0,1228,2019,1,11,1,20,418,1
1588,240000,3,130.0,120.0,0,3,1,9,11,1,889,0,0,0,0,0,0,0,1507,2019,1,14,1,20,311,1
1643,320000,3,120.0,110.0,0,9,15,8,9,1,889,0,0,0,0,0,0,0,1745,2019,1,15,1,20,376,1
1653,275000,3,120.0,110.0,0,4,12,7,7,1,889,0,0,0,0,0,0,0,1755,2019,1,15,1,20,337,1
1695,550000,3,160.0,145.0,0,9,12,12,9,1,889,5,0,0,1,0,0,0,1637,2019,1,15,1,20,256,1
1848,330000,2,90.0,75.0,0,7,14,7,9,1,889,0,0,0,0,0,0,0,1786,2019,1,16,1,20,256,1
1930,330000,2,95.0,90.0,0,7,14,7,9,1,889,0,0,0,0,0,0,0,2045,2019,1,17,1,20,256,1
1939,330000,2,90.0,85.0,0,7,14,7,9,1,889,0,0,0,0,0,0,0,2037,2019,1,17,1,20,237,1
1978,299000,2,110.0,90.0,0,7,18,10,8,1,889,0,0,0,1,0,0,0,2086,2019,1,17,1,20,278,1
2025,370000,3,120.0,105.0,0,9,15,7,9,1,889,5,1,0,0,1,0,0,1963,2019,1,17,1,20,237,1
2074,192000,1,68.0,50.0,0,1,12,7,11,1,889,1,1,0,0,0,0,0,1971,2019,1,17,1,20,484,1
2076,985000,1149,167.0,115.0,0,10,19,11,8,0,889,0,0,0,0,0,0,0,1974,2019,1,17,1,20,588,0
2080,1500000,3,130.0,110.0,0,9,1,10,8,1,889,0,0,0,1,1,0,0,1978,2019,1,17,1,20,44,1
2085,350000,3,110.0,100.0,0,9,14,7,9,1,889,0,0,0,0,0,0,0,1983,2019,1,17,1,20,588,1
2281,420000,3,120.0,100.0,0,7,12,11,9,1,889,5,0,0,0,0,0,0,2318,2019,1,19,1,20,250,1
2287,235000,3,115.0,100.0,0,7,26,7,9,1,889,0,0,0,0,0,0,0,2317,2019,1,19,1,20,381,1
2350,400000,3,120.0,100.0,0,1,12,7,9,2,889,0,1,0,1,0,0,1,2308,2019,1,19,1,20,381,1
2550,260000,3,115.0,110.0,0,6,14,9,9,1,889,0,0,1,0,0,0,0,2490,2019,1,21,1,20,33,1
2591,380000,2,130.0,100.0,0,12,16,8,9,1,889,0,0,0,0,0,0,0,2494,2019,1,21,1,20,256,1
2605,780000,3,140.0,128.0,0,7,14,10,9,2,889,7,1,0,1,0,0,1,2506,2019,1,21,1,20,256,1
2706,715000,3,175.0,145.0,0,6,14,10,9,2,889,0,0,0,1,0,0,0,2677,2019,1,22,1,20,362,1
2727,235000,3,125.0,120.0,0,6,15,7,9,1,889,0,0,0,0,0,0,0,2660,2019,1,22,1,20,250,1
2853,285000,2,85.0,80.0,0,12,21,11,9,1,889,0,0,0,0,0,0,0,2801,2019,1,23,1,20,381,1
2885,170000,2,90.0,80.0,0,9,26,8,10,1,889,0,0,0,0,0,0,0,2978,2019,1,24,1,20,376,1
2941,1890000,2,110.0,95.0,4,14,13,5,12,1,889,1,0,0,0,0,0,0,2998,2019,1,24,1,20,28,1
3033,245000,2,90.0,85.0,0,1,15,8,9,1,889,0,1,0,1,0,0,0,3139,2019,1,25,1,20,64,1
3060,165000,2,75.0,60.0,0,0,0,0,0,1,889,0,0,0,0,0,0,0,3121,2019,1,25,1,20,337,1
3165,280000,2,105.0,90.0,0,1,14,8,16,2,889,0,0,0,1,0,0,1,3067,2019,1,25,1,20,563,1
3204,290000,2,100.0,90.0,0,2,32,8,9,1,889,0,0,0,0,0,0,0,3256,2019,1,26,1,20,33,1
3239,200000,2,85.0,73.0,0,9,15,7,9,1,889,7,0,0,0,0,0,0,3292,2019,1,26,1,20,256,1
3276,215000,2,90.0,80.0,0,14,16,12,8,1,889,0,0,0,1,0,0,0,3190,2019,1,26,1,20,310,1
3310,645000,1,110.0,95.0,0,10,16,2,9,1,889,1,0,0,1,0,1,0,3225,2019,1,26,1,20,278,1
3371,330000,3,120.0,110.0,0,9,14,7,9,1,889,0,0,0,0,0,0,0,3450,2019,1,28,1,20,588,1
3373,395000,2,100.0,90.0,0,8,14,7,9,2,889,0,0,0,1,0,0,1,3457,2019,1,28,1,20,381,1
3381,272000,2,95.0,94.0,0,7,1,10,0,1,889,7,0,0,1,0,0,0,3434,2019,1,28,1,20,47,1
3396,215000,2,85.0,80.0,0,7,12,7,16,1,889,0,0,0,0,0,0,0,3460,2019,1,28,1,20,588,1
3415,229000,2,90.0,89.0,0,9,32,8,0,1,889,0,0,0,0,0,0,0,3476,2019,1,28,1,20,33,1
3473,379000,2,90.0,89.0,0,9,17,10,0,1,889,7,0,0,1,0,0,0,3416,2019,1,28,1,20,33,1
3509,249000,2,95.0,90.0,0,12,27,4,9,1,889,0,0,0,0,0,0,0,3661,2019,1,29,1,20,484,1
3576,245000,2,90.0,85.0,0,7,27,8,9,1,889,0,0,0,0,0,0,0,3714,2019,1,29,1,20,89,1
3653,300000,2,90.0,80.0,0,9,14,10,16,1,889,0,0,0,1,0,0,0,3506,2019,1,29,1,20,33,1
3678,290000,2,90.0,75.0,0,4,26,7,9,1,889,0,0,0,0,0,0,0,3590,2019,1,29,1,20,278,1
3730,265000,2,73.0,65.0,0,1,12,6,9,1,889,5,1,1,1,0,0,0,3863,2019,1,30,1,20,563,1
3750,495000,2,150.0,130.0,0,7,1,11,12,1,889,1,0,0,1,0,0,0,3845,2019,1,30,1,20,237,1
3761,330000,3,130.0,120.0,0,14,16,10,8,1,889,1,0,0,1,0,0,0,3841,2019,1,30,1,20,563,1
3768,325000,2,98.0,90.0,0,7,14,7,9,1,889,0,0,0,0,0,0,0,3849,2019,1,30,1,20,33,1
3836,1500000,4,200.0,185.0,0,9,1,11,11,1,889,0,1,0,1,0,1,0,3759,2019,1,30,1,20,237,1
3851,250000,3,115.0,100.0,0,7,14,10,16,1,889,0,0,0,1,0,0,0,3774,2019,1,30,1,20,64,1
4251,235000,2,100.0,90.0,0,3,18,10,9,2,889,0,0,0,1,0,0,1,4179,2019,2,2,1,20,563,1
4279,180000,1,50.0,40.0,0,1,12,7,9,1,889,0,0,1,0,1,0,1,4210,2019,2,2,1,20,337,1
4326,220000,2,95.0,90.0,0,6,17,9,9,1,889,0,1,0,0,0,0,0,4403,2019,2,3,1,20,337,1
4354,1150000,5,385.0,300.0,0,7,34,9,9,3,889,1,1,0,1,0,0,1,4310,2019,2,3,1,20,44,1
4442,269000,2,125.0,116.0,0,6,1,7,12,1,889,0,0,0,0,0,0,0,4512,2019,2,4,1,20,44,1
4444,210000,2,95.0,90.0,0,7,15,7,9,1,889,0,1,0,0,0,0,0,4514,2019,2,4,1,20,64,1
4576,350000,2,105.0,98.0,0,1,1,7,9,2,889,6,1,1,1,0,0,1,4646,2019,2,5,1,20,588,1
4626,159000,2,90.0,80.0,0,7,15,7,9,1,889,0,0,0,0,0,0,0,4595,2019,2,5,1,20,64,1
4798,347000,2,90.0,85.0,0,7,15,11,9,1,889,0,0,0,1,0,0,0,4746,2019,2,7,1,20,47,1
4823,245000,2,95.0,80.0,0,1,28,7,9,1,889,0,0,0,0,0,0,0,4926,2019,2,8,1,20,563,1
4849,590000,2,95.0,87.0,0,8,14,8,9,1,889,0,0,0,0,0,0,0,4911,2019,2,8,1,20,588,1
4909,195000,2,100.0,90.0,0,9,21,10,8,1,889,0,0,0,0,1,0,0,4847,2019,2,8,1,20,89,1
4980,250000,2,85.0,75.0,0,9,14,7,9,1,889,0,0,0,0,0,0,0,5057,2019,2,9,1,20,337,1
5129,250000,2,85.0,80.0,0,7,12,7,16,1,889,0,0,0,0,0,0,0,5264,2019,2,10,1,20,381,1
5151,265000,2,100.0,90.0,0,7,12,8,9,1,889,0,0,0,0,0,0,0,5255,2019,2,10,1,20,381,1
5183,235000,2,85.0,80.0,0,1,15,7,9,1,889,0,0,0,1,0,0,0,5354,2019,2,10,1,20,337,1
5231,400000,3,130.0,120.0,0,7,17,11,9,1,889,0,0,0,1,0,0,0,5230,2019,2,10,1,20,64,1
5243,60000,2,95.0,90.0,0,1,14,8,5,1,889,0,1,0,1,0,0,0,5143,2019,2,10,1,20,376,1
5269,220000,3,130.0,120.0,0,0,0,0,0,1,889,0,0,0,0,0,0,0,5102,2019,2,10,1,20,64,1
5387,310000,3,125.0,120.0,0,7,15,8,16,1,889,0,0,0,0,0,0,0,5452,2019,2,11,1,20,337,1
5393,255000,3,110.0,95.0,0,7,24,8,9,1,889,0,0,0,0,0,0,0,5456,2019,2,11,1,20,381,1
5394,335000,3,140.0,135.0,0,7,24,8,9,1,889,0,0,0,0,0,0,0,5455,2019,2,11,1,20,418,1
5484,210000,3,110.0,90.0,0,3,27,8,9,1,889,0,0,0,0,0,0,0,5542,2019,2,12,1,20,304,1
5504,310000,3,160.0,150.0,0,7,21,11,9,1,889,0,0,0,0,0,0,0,5602,2019,2,12,1,20,237,1
5691,395000,3,130.0,120.0,0,7,33,9,9,1,889,5,0,0,0,1,0,0,5657,2019,2,13,1,20,256,1
5697,1400000,4,250.0,235.0,0,6,15,11,9,1,889,1,0,0,1,0,0,0,5649,2019,2,13,1,20,44,1
5708,795000,3,120.0,100.0,0,7,12,11,11,1,889,3,0,0,1,0,0,0,5647,2019,2,13,1,20,89,1
5720,1590000,2,145.0,110.0,0,14,4,5,8,1,889,6,0,0,1,0,0,0,5805,2019,2,14,1,20,44,1
5728,1800000,3,135.0,120.0,0,6,24,11,9,1,889,0,0,0,1,0,0,0,5789,2019,2,14,1,20,330,1
5801,290000,2,105.0,90.0,0,1,15,8,9,2,889,5,1,0,1,0,0,1,5716,2019,2,14,1,20,563,1
5816,299000,3,120.0,100.0,0,7,12,8,9,1,889,0,0,0,0,0,0,0,5767,2019,2,14,1,20,256,1
5829,290000,2,105.0,90.0,0,1,16,8,9,2,889,5,0,0,1,0,0,1,5749,2019,2,14,1,20,563,1
5902,235000,3,130.0,120.0,0,6,1,9,9,1,889,0,0,0,0,0,0,0,5863,2019,2,15,1,20,418,1
5993,300000,2,120.0,110.0,0,7,12,8,9,1,889,0,0,0,0,1,0,0,5995,2019,2,16,1,20,256,1
6064,195000,5,175.0,155.0,0,7,24,7,9,1,889,0,0,0,0,0,0,0,6092,2019,2,17,1,20,376,1
